"Company","Ticker","Sector","E","S","G","ESG","Status"
"Seagate Technology","STX","Information Technology","1.59","3.8","5.26","10.66","Invest"
"Sealed Air","SEE","Materials","15.83","1.52","3.23","20.57","Divest"
"Sempra Energy","SRE","Utilities","12.09","7.14","5.5","24.72","Divest"
"Sherwin-Williams","SHW","Materials","12.93","8.99","6.72","28.63","Divest"
"Simon Property Group","SPG","Real Estate","3.83","3.99","6.38","14.21","Divest"
"Skyworks Solutions","SWKS","Information Technology","11.63","8.93","7.21","27.76","Divest"
"J.M. Smucker Company (The)","SJM","Consumer Staples","12.36","12.44","6.16","30.97","Divest"
"Snap-on","SNA","Industrials","9.33","13.91","7.59","30.83","Divest"
"Southern Company","SO","Utilities","14.79","11","7.3","33.09","Divest"
"Southwest Airlines","LUV","Industrials","11.29","14.89","6.21","32.39","Divest"
"Stanley Black & Decker","SWK","Industrials","5.83","12.51","7.59","25.93","Divest"
